Gene_accession no.	Gene	Group	Family	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
blaCTX-M-25_1_AF518567	blaCTX-M-25	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	15561863	Enzymatic inactivation	Class A, curated	
blaCTX-M-28_6_AJ549244	blaCTX-M-28	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18603686	Enzymatic inactivation	Class A, curated	
blaCTX-M-29_1_AY267213	blaCTX-M-29	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16533535	Enzymatic inactivation	Class A, curated	
blaCTX-M-30_1_AY292654	blaCTX-M-30	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	15504875	Enzymatic inactivation	Class A, curated	
blaCTX-M-31_1_AJ567481	blaCTX-M-31	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	12936986	Enzymatic inactivation	Class A, curated	
blaCTX-M-32_2_AJ557142	blaCTX-M-32	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	15155242	Enzymatic inactivation	Class A, curated	
blaCTX-M-33_1_AY238472	blaCTX-M-33	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	17234386	Enzymatic inactivation	Class A, curated	
blaCTX-M-34_1_AY515297	blaCTX-M-34	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16244084	Enzymatic inactivation	Class A, curated	
blaCTX-M-35_1_AB176532	blaCTX-M-35	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-36_1_AB177384	blaCTX-M-36	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-39_1_AY954516	blaCTX-M-39	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16251320	Enzymatic inactivation	Class A, curated	
blaCTX-M-40_1_AY750914	blaCTX-M-40	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16697557	Enzymatic inactivation	Class A, curated	
blaCTX-M-41_1_DQ023162	blaCTX-M-41	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18487232	Enzymatic inactivation	Class A, curated	
blaCTX-M-42_1_DQ061159	blaCTX-M-42	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-43_1_DQ102702	blaCTX-M-43	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16510850	Enzymatic inactivation	Class A, curated	
blaCTX-M-44_1_D37830	blaCTX-M-44	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	8619581	Enzymatic inactivation	Class A, curated	
blaCTX-M-46_1_AY847147	blaCTX-M-46	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16082008, 16333139	Enzymatic inactivation	Class A, curated	
blaCTX-M-47_1_AY847143	blaCTX-M-47	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16082008, 16333139	Enzymatic inactivation	Class A, curated	
blaCTX-M-48_1_AY847144	blaCTX-M-48	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16082008, 16333139	Enzymatic inactivation	Class A, curated	
blaCTX-M-49_1_AY847145	blaCTX-M-49	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16082008, 16333139	Enzymatic inactivation	Class A, curated	
blaCTX-M-50_1_AY847146	blaCTX-M-50	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16082008, 16333139	Enzymatic inactivation	Class A, curated	
blaCTX-M-51_1_DQ211987	blaCTX-M-51	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-53_1_DQ268764	blaCTX-M-53	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19273683	Enzymatic inactivation	Class A, curated	
blaCTX-M-54_1_DQ303459	blaCTX-M-54	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16785225	Enzymatic inactivation	Class A, curated	
blaCTX-M-56_1_EF374097	blaCTX-M-56	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	17548490	Enzymatic inactivation	Class A, curated	
blaCTX-M-58_1_EF210159	blaCTX-M-58	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-60_1_AM411407	blaCTX-M-60	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-61_1_EF219142	blaCTX-M-61	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-62_1_EF219134	blaCTX-M-62	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	22252811	Enzymatic inactivation	Class A, curated	
blaCTX-M-63_1_EU660216	blaCTX-M-63	blaCTX-M	Beta-lactam	Beta-lactam				ongoing curation	
blaCTX-M-64_1_AB284167	blaCTX-M-64	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18955524	Enzymatic inactivation	Class A, curated	
blaCTX-M-66_1_EF576988	blaCTX-M-66	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	17913434	Enzymatic inactivation	Class A, curated	
blaCTX-M-67_1_EF581888	blaCTX-M-67	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18775649	Enzymatic inactivation	Class A, curated	
blaCTX-M-68_1_EU177100	blaCTX-M-68	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19748232	Enzymatic inactivation	Class A, curated	
blaCTX-M-69_1_EU402393	blaCTX-M-69	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-71_1_FJ815436	blaCTX-M-71	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19620330	Enzymatic inactivation	Class A, curated	
blaCTX-M-72_1_AY847148	blaCTX-M-72	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19590148	Enzymatic inactivation	Class A, curated	
blaCTX-M-74_1_GQ149243	blaCTX-M-74	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19748435	Enzymatic inactivation	Class A, curated	
blaCTX-M-75_1_GQ149244	blaCTX-M-75	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19748435	Enzymatic inactivation	Class A, curated	
blaCTX-M-76_1_AM982520	blaCTX-M-76	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-77_1_AM982521	blaCTX-M-77	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-78_1_AM982522	blaCTX-M-78	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-80_1_EU202673	blaCTX-M-80	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19294528	Enzymatic inactivation	Class A, curated	
blaCTX-M-81_1_EU136031	blaCTX-M-81	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19294528	Enzymatic inactivation	Class A, curated	
blaCTX-M-82_1_DQ256091	blaCTX-M-82	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19297379	Enzymatic inactivation	Class A, curated	
blaCTX-M-83_1_FJ214366	blaCTX-M-83	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18984647	Enzymatic inactivation	Class A, curated	
blaCTX-M-84_1_FJ214367	blaCTX-M-84	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18984647	Enzymatic inactivation	Class A, curated	
blaCTX-M-85_1_FJ214368	blaCTX-M-85	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18984647	Enzymatic inactivation	Class A, curated	
blaCTX-M-86_1_FJ214369	blaCTX-M-86	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	18984647	Enzymatic inactivation	Class A, curated	
blaCTX-M-87_1_EU545409	blaCTX-M-87	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19429759	Enzymatic inactivation	Class A, curated	
blaCTX-M-88_1_FJ873739	blaCTX-M-88	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19785534	Enzymatic inactivation	Class A, curated	
blaCTX-M-89_1_FJ971899	blaCTX-M-89	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19587301	Enzymatic inactivation	Class A, curated	
blaCTX-M-90_1_FJ907381	blaCTX-M-90	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-91_1_GQ870432	blaCTX-M-91	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-92_1_GU127598	blaCTX-M-92	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	20576750	Enzymatic inactivation	Class A, curated	
blaCTX-M-93_1_HQ166709	blaCTX-M-93	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	21343457	Enzymatic inactivation	Class A, curated	
blaCTX-M-94_1_HM167760	blaCTX-M-94	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23050014	Enzymatic inactivation	Class A, curated	
blaCTX-M-95_1_FN813245	blaCTX-M-95	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-96_1_AJ704396	blaCTX-M-96	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-97_1_HM776707	blaCTX-M-97	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23117265	Enzymatic inactivation	Class A, curated	
blaCTX-M-98_1_HM755448	blaCTX-M-98	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	22325120	Enzymatic inactivation	Class A, curated	
blaCTX-M-99_1_HM803271	blaCTX-M-99	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-100_1_FR682582	blaCTX-M-100	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23050014	Enzymatic inactivation	Class A, curated	
blaCTX-M-101_1_HQ398214	blaCTX-M-101	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	24999233	Enzymatic inactivation	Class A, curated	
blaCTX-M-102_1_HQ398215	blaCTX-M-102	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	22325120	Enzymatic inactivation	Class A, curated	
blaCTX-M-103_1_HG423149	blaCTX-M-103	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23926164	Enzymatic inactivation	Class A, curated	
blaCTX-M-104_1_HQ833652	blaCTX-M-104	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	22325120	Enzymatic inactivation	Class A, curated	
blaCTX-M-105_1_HQ833651	blaCTX-M-105	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	22407683	Enzymatic inactivation	Class A, curated	
blaCTX-M-110_1_JF274242	blaCTX-M-110	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	21859815	Enzymatic inactivation	Class A, curated	
blaCTX-M-111_1_JF274243	blaCTX-M-111	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	21859815	Enzymatic inactivation	Class A, curated	
blaCTX-M-112_1_JF274246	blaCTX-M-112	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	21859815	Enzymatic inactivation	Class A, curated	
blaCTX-M-113_1_JF274247	blaCTX-M-113	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	21859815	Enzymatic inactivation	Class A, curated	
blaCTX-M-114_1_GQ351346	blaCTX-M-114	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-116_1_JF966749	blaCTX-M-116	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23318795	Enzymatic inactivation	Class A, curated	
blaCTX-M-117_1_JN227085	blaCTX-M-117	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23127481	Enzymatic inactivation	Class A, curated	
blaCTX-M-121_1_JN790862	blaCTX-M-121	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	24999233	Enzymatic inactivation	Class A, curated	
blaCTX-M-123_1_JN790864	blaCTX-M-123	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-124_1_JQ429324	blaCTX-M-124	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	22314536	Enzymatic inactivation	Class A, curated	
blaCTX-M-125_1_JQ724542	blaCTX-M-125	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-126_1_AB703103	blaCTX-M-126	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	22843833	Enzymatic inactivation	Class A, curated	
blaCTX-M-129_1_JX017364	blaCTX-M-129	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-130_1_JX017365	blaCTX-M-130	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-131_1_JN969893	blaCTX-M-131	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	25583719	Enzymatic inactivation	Class A, curated	
blaCTX-M-132_1_JX313020	blaCTX-M-132	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23952362	Enzymatic inactivation	Class A, curated	
blaCTX-M-134_1_JX896165	blaCTX-M-134	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-136_1_KC351754	blaCTX-M-136	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-139_1_KC107824	blaCTX-M-139	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-142_1_KF240809	blaCTX-M-142	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-147_1_KF513180	blaCTX-M-147	blaCTX-M	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaDHA-1_1_Y16410	blaDHA-1	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	10103179, 9736562	Enzymatic inactivation	"Class C;DHA-1-like;Alternative name blaMOR-1;, curated"	
blaDHA-2_1_AF259520	blaDHA-2	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	11157909	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-3_1_AY494945	blaDHA-3	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	16216104	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-5_1_JF273491	blaDHA-5	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-6_1_HQ322612	blaDHA-6	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-7_1_HQ456945	blaDHA-7	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaFONA-6_1_AJ251244	blaFONA-6	blaFONA	Beta-lactam	Beta-lactam				ongoing curation	
